step,lr,train_loss,val_loss,elapsed_s
1000,4.00e-04,0.3937,0.4063,301
2000,3.97e-04,0.3246,0.3495,583
3000,3.89e-04,0.3076,0.3303,854
4000,3.76e-04,0.2951,0.3119,1178
5000,3.58e-04,0.2635,0.3041,1565
6000,3.35e-04,0.2610,0.3004,1881
7000,3.09e-04,0.2633,0.2883,2152
8000,2.80e-04,0.2440,0.2891,2466
9000,2.49e-04,0.2444,0.2805,2752
10000,2.17e-04,0.2306,0.2776,3045
11000,1.84e-04,0.2300,0.2772,3340
12000,1.51e-04,0.2206,0.2747,3614
13000,1.20e-04,0.2239,0.2718,3913
14000,9.06e-05,0.2242,0.2696,4186
15000,6.46e-05,0.2176,0.2687,4502
16000,4.22e-05,0.2240,0.2679,4802
17000,2.41e-05,0.2241,0.2672,5111
18000,1.08e-05,0.2072,0.2670,5411
19000,2.73e-06,0.2137,0.2665,5684
20000,2.73e-12,0.2047,0.2667,5984
