step,lr,train_loss,val_loss,elapsed_s
1000,4.00e-04,0.3515,0.3602,550
2000,3.92e-04,0.2862,0.3138,1111
3000,3.73e-04,0.2630,0.2936,1664
4000,3.45e-04,0.2573,0.2746,2216
5000,3.08e-04,0.2296,0.2682,2776
6000,2.65e-04,0.2271,0.2596,3331
7000,2.19e-04,0.2256,0.2525,3896
8000,1.72e-04,0.2076,0.2493,4462
9000,1.26e-04,0.2019,0.2430,5028
10000,8.40e-05,0.1919,0.2399,5603
11000,4.89e-05,0.1903,0.2393,6166
12000,2.23e-05,0.1867,0.2370,6750
13000,5.65e-06,0.1850,0.2363,7376
14000,5.66e-12,0.1867,0.2360,7982
