step,lr,train_loss,val_loss,elapsed_s
500,3.33e-04,0.4530,0.4415,416
1000,3.97e-04,0.3792,0.3729,844
1500,3.86e-04,0.3625,0.3438,1250
2000,3.66e-04,0.3246,0.3281,1674
2500,3.38e-04,0.3356,0.3155,2115
3000,3.05e-04,0.3094,0.3015,2537
3500,2.67e-04,0.3023,0.2973,2965
4000,2.25e-04,0.2942,0.2915,3393
4500,1.83e-04,0.2972,0.2853,3816
5000,1.42e-04,0.2905,0.2828,4246
5500,1.03e-04,0.2779,0.2768,4674
6000,6.79e-05,0.2813,0.2720,5103
6500,3.93e-05,0.2756,0.2700,5536
7000,1.78e-05,0.2844,0.2688,5959
7500,4.51e-06,0.2831,0.2674,6390
8000,1.80e-11,0.2860,0.2677,6819
