step,lr,train_loss,val_loss,elapsed_s
500,3.33e-04,0.4145,0.4080,1156
1000,3.99e-04,0.3295,0.3446,2343
1500,3.93e-04,0.3102,0.3057,3526
2000,3.82e-04,0.2792,0.2913,4698
2500,3.68e-04,0.2787,0.2772,5868
3000,3.50e-04,0.2509,0.2631,7094
3500,3.28e-04,0.2439,0.2542,1354
4000,3.04e-04,0.2515,0.2525,935
4000,3.04e-04,0.2515,0.2525,876
4500,2.77e-04,0.2340,0.2424,1669
5000,2.48e-04,0.2316,0.2357,730
5500,2.18e-04,0.2173,0.2309,1367
6000,1.88e-04,0.2315,0.2270,2684
6500,1.58e-04,0.2233,0.2322,3959
