step,lr,train_loss,val_loss,elapsed_s
1000,3.00e-04,0.1715,0.1771,865
2000,2.96e-04,0.1272,0.1336,1537
3000,2.85e-04,0.1133,0.1204,2212
4000,2.67e-04,0.1014,0.1126,2883
5000,2.44e-04,0.0980,0.1057,3557
6000,2.15e-04,0.0987,0.1018,4238
7000,1.83e-04,0.0959,0.0970,4915
8000,1.50e-04,0.0929,0.0947,5596
9000,1.17e-04,0.0904,0.0920,6272
10000,8.49e-05,0.0840,0.0902,6955
11000,5.65e-05,0.0855,0.0886,7636
12000,3.27e-05,0.0896,0.0871,8314
13000,1.49e-05,0.0871,0.0861,9016
14000,3.77e-06,0.0868,0.0857,9711
15000,3.78e-12,0.0825,0.0855,10396
