step,lr,train_loss,val_loss,elapsed_s
500,3.00e-04,0.3998,0.4127,130
1000,2.97e-04,0.2913,0.3057,265
1500,2.87e-04,0.2464,0.2611,389
2000,2.71e-04,0.2179,0.2348,516
2500,2.50e-04,0.2135,0.2188,653
3000,2.25e-04,0.1912,0.2078,814
3500,1.96e-04,0.1875,0.2002,944
4000,1.66e-04,0.1858,0.1930,1070
4500,1.34e-04,0.1808,0.1888,1216
5000,1.04e-04,0.1786,0.1838,1346
5500,7.51e-05,0.1731,0.1803,1480
6000,4.97e-05,0.1697,0.1778,1610
6500,2.87e-05,0.1651,0.1757,1730
7000,1.30e-05,0.1626,0.1742,1857
7500,3.29e-06,0.1703,0.1735,1991
8000,1.32e-11,0.1683,0.1733,2118
