step,lr,train_loss,val_loss,elapsed_s
1000,4.00e-04,0.3044,0.3198,239
2000,3.99e-04,0.2148,0.2317,481
3000,3.95e-04,0.1875,0.2046,822
4000,3.90e-04,0.1759,0.1882,1155
5000,3.82e-04,0.1625,0.1766,1404
6000,3.71e-04,0.1578,0.1657,1649
7000,3.59e-04,0.1527,0.1585,1895
8000,3.45e-04,0.1468,0.1525,2138
9000,3.29e-04,0.1466,0.1476,2381
10000,3.12e-04,0.1386,0.1435,2630
11000,2.94e-04,0.1321,0.1393,2868
12000,2.74e-04,0.1356,0.1367,302
13000,2.54e-04,0.1309,0.1340,447
14000,2.32e-04,0.1267,0.1313,209
15000,2.11e-04,0.1208,0.1293,428
16000,1.89e-04,0.1231,0.1275,642
17000,1.68e-04,0.1227,0.1250,947
