model,variable,lead_h,crps,rmse,spread,spread_skill,n_inits
mme4,u10,6,0.0,0.0,0.0,0.0,0
mme4,v10,6,0.0,0.0,0.0,0.0,0
mme4,t2m,6,0.0,0.0,0.0,0.0,0
mme4,msl,6,0.0,0.0,0.0,0.0,0
mme4,u850,6,0.0,0.0,0.0,0.0,0
mme4,v850,6,0.0,0.0,0.0,0.0,0
mme4,t850,6,0.0,0.0,0.0,0.0,0
mme4,z500,6,0.0,0.0,0.0,0.0,0
mme4,wind_speed,6,0.0,0.0,0.0,0.0,0
mme4,u10,12,0.1393542785182785,0.2811293613515506,0.22045337412897395,0.7841705792277539,181
mme4,v10,12,0.1478391564258639,0.2954081754658104,0.22200190098904773,0.7515089947628804,181
mme4,t2m,12,0.09587228072070919,0.30853318772921906,0.3358033409764095,1.0883864502483402,181
mme4,msl,12,12.994578728867648,26.686018685609596,23.65720993379203,0.8865020373589542,181
mme4,u850,12,0.24730471979580748,0.47178003191947937,0.3276820805191335,0.694565387148603,181
mme4,v850,12,0.26101672954391447,0.4945686958442077,0.33638880957556033,0.6801659959520061,181
mme4,t850,12,0.12637942358423476,0.265350890340726,0.22251155198608313,0.838555889902481,181
mme4,z500,12,10.562608374023137,20.989263650462114,17.965949991131357,0.8559590412661192,181
mme4,wind_speed,12,0.13339563139963254,0.2687664940870928,0.21369565208313873,0.795097814588047,181
mme4,u10,18,0.0,0.0,0.0,0.0,0
mme4,v10,18,0.0,0.0,0.0,0.0,0
mme4,t2m,18,0.0,0.0,0.0,0.0,0
mme4,msl,18,0.0,0.0,0.0,0.0,0
mme4,u850,18,0.0,0.0,0.0,0.0,0
mme4,v850,18,0.0,0.0,0.0,0.0,0
mme4,t850,18,0.0,0.0,0.0,0.0,0
mme4,z500,18,0.0,0.0,0.0,0.0,0
mme4,wind_speed,18,0.0,0.0,0.0,0.0,0
mme4,u10,24,0.19418285024452617,0.38450740170742265,0.2735005706877998,0.7113011855514564,181
mme4,v10,24,0.20730327497021506,0.40893879730398486,0.28726866297958964,0.702473487165974,181
mme4,t2m,24,0.1297660522267369,0.3569351778833906,0.35322629088196306,0.9896090740525463,181
mme4,msl,24,17.44326122111455,36.53067172561561,31.41895393245128,0.8600705228866637,181
mme4,u850,24,0.3246113535371396,0.614201955703082,0.40208662165462644,0.6546488787948495,181
mme4,v850,24,0.3396393586431156,0.6461833455285974,0.4266799154861197,0.6603078188854941,181
mme4,t850,24,0.17190125652678745,0.3535392584063072,0.26117010134689056,0.7387301272401811,181
mme4,z500,24,14.44949886622148,29.77487629421508,26.10940220869707,0.8768937257942472,181
mme4,wind_speed,24,0.1859206049500774,0.3678696079807387,0.2637746166952407,0.7170329132192179,181
mme4,u10,30,0.0,0.0,0.0,0.0,0
mme4,v10,30,0.0,0.0,0.0,0.0,0
mme4,t2m,30,0.0,0.0,0.0,0.0,0
mme4,msl,30,0.0,0.0,0.0,0.0,0
mme4,u850,30,0.0,0.0,0.0,0.0,0
mme4,v850,30,0.0,0.0,0.0,0.0,0
mme4,t850,30,0.0,0.0,0.0,0.0,0
mme4,z500,30,0.0,0.0,0.0,0.0,0
mme4,wind_speed,30,0.0,0.0,0.0,0.0,0
mme4,u10,36,0.2375328752681555,0.4773524385460174,0.32900516795848617,0.6892290504697394,181
mme4,v10,36,0.252125176949673,0.508466263666996,0.34791620429708153,0.6842463879273971,181
mme4,t2m,36,0.1544870648990322,0.40888650377810987,0.38772330116171866,0.9482418656012285,181
mme4,msl,36,22.759775215421918,49.12249416541,40.43675059113055,0.8231819511234104,181
mme4,u850,36,0.39206239990398856,0.7480881102177319,0.4882813341380483,0.6527056471943304,181
mme4,v850,36,0.417311373184501,0.7972188203374325,0.5116211813128455,0.6417575303808002,181
mme4,t850,36,0.2049652282078021,0.4265712632988039,0.30996235085455753,0.7266367369839343,181
mme4,z500,36,19.710844608597245,42.0577519032178,35.02763730254621,0.8328461631318501,181
mme4,wind_speed,36,0.22707772886204772,0.4565362747532228,0.3189784288406372,0.6986924073296444,181
mme4,u10,42,0.0,0.0,0.0,0.0,0
mme4,v10,42,0.0,0.0,0.0,0.0,0
mme4,t2m,42,0.0,0.0,0.0,0.0,0
mme4,msl,42,0.0,0.0,0.0,0.0,0
mme4,u850,42,0.0,0.0,0.0,0.0,0
mme4,v850,42,0.0,0.0,0.0,0.0,0
mme4,t850,42,0.0,0.0,0.0,0.0,0
mme4,z500,42,0.0,0.0,0.0,0.0,0
mme4,wind_speed,42,0.0,0.0,0.0,0.0,0
mme4,u10,48,0.28679946289281577,0.5861240911878933,0.4012779165368054,0.6846296246304062,181
mme4,v10,48,0.3069157721727415,0.6281094169089807,0.42778447994869717,0.6810668148455532,181
mme4,t2m,48,0.1789994843814737,0.4589311520039047,0.4023836217203193,0.8767842844473013,181
mme4,msl,48,28.63376613888785,64.0886408558208,51.78908652627007,0.8080852680708139,181
mme4,u850,48,0.4595697366391467,0.889000274858422,0.5792980971257331,0.6516287041845846,181
mme4,v850,48,0.4840147779539289,0.9494165445559591,0.6207290298372342,0.6538005192731798,181
mme4,t850,48,0.2408837323597186,0.4990690562935824,0.3526990942204196,0.7067140103612051,181
mme4,z500,48,25.5508499975968,56.80708721856386,46.501699184185895,0.8185897475304756,181
mme4,wind_speed,48,0.27394633380320876,0.5574577618699047,0.38387755745023655,0.6886217821464705,181
mme4,u10,54,0.0,0.0,0.0,0.0,0
mme4,v10,54,0.0,0.0,0.0,0.0,0
mme4,t2m,54,0.0,0.0,0.0,0.0,0
mme4,msl,54,0.0,0.0,0.0,0.0,0
mme4,u850,54,0.0,0.0,0.0,0.0,0
mme4,v850,54,0.0,0.0,0.0,0.0,0
mme4,t850,54,0.0,0.0,0.0,0.0,0
mme4,z500,54,0.0,0.0,0.0,0.0,0
mme4,wind_speed,54,0.0,0.0,0.0,0.0,0
mme4,u10,60,0.3344410900868128,0.7019526671968113,0.48199578395205966,0.6866499786614804,181
mme4,v10,60,0.359307382530724,0.7609448228751757,0.5138786058070252,0.6753165148891762,181
mme4,t2m,60,0.19673088435517838,0.5074416212943378,0.45102856386432333,0.8888284778727433,181
mme4,msl,60,35.73426252838024,82.75459782721587,64.72477975076075,0.7821291076285602,181
mme4,u850,60,0.5346597460414625,1.0542425740489643,0.7024590396090765,0.6663163269068005,181
mme4,v850,60,0.5740770469663024,1.145182351710388,0.7425076530124601,0.6483750399257264,181
mme4,t850,60,0.2712285914127755,0.5783067279757715,0.4185488301416787,0.7237488514213067,181
mme4,z500,60,33.09195314259051,75.79522705078125,59.658006552174605,0.7870945028267409,181
mme4,wind_speed,60,0.3167972783920748,0.6609662036869407,0.4556933700709053,0.6894352049000366,181
mme4,u10,66,0.0,0.0,0.0,0.0,0
mme4,v10,66,0.0,0.0,0.0,0.0,0
mme4,t2m,66,0.0,0.0,0.0,0.0,0
mme4,msl,66,0.0,0.0,0.0,0.0,0
