model,lead_h,n_inits,ws_rmse,ws_var_ratio,ws_spec_ratio,ws_p95_rmse,ws_p95_bias,cf_bias,cf_rmse,z500_var_ratio,z500_spec_ratio
graphcast_2020,24,241,0.3898,0.9959,0.9383,0.4106,-0.0878,-0.0035,0.03197,1.0009,0.9229
graphcast_2020,72,241,0.8613,0.9548,0.8364,1.3211,-0.6314,-0.01176,0.07703,1.001,0.7263
graphcast_2020,120,241,1.4856,0.9222,0.7734,2.7556,-1.562,-0.01901,0.1345,1.0028,0.6082
pangu_2020,24,241,0.4157,0.996,0.9488,0.4391,-0.0684,-0.00175,0.03428,0.9987,0.9374
pangu_2020,72,241,0.9112,0.9787,0.9188,1.327,-0.4415,-0.00425,0.08162,0.9959,0.8805
pangu_2020,120,241,1.5559,0.9675,0.8932,2.6976,-1.2729,-0.0066,0.14042,0.9927,0.8405
hres_2020,24,241,0.5067,1.0033,0.9986,0.505,-0.0077,0.00223,0.04057,0.9905,0.9657
hres_2020,72,241,1.0002,0.994,0.9887,1.3918,-0.356,0.00027,0.08711,0.9839,0.9425
hres_2020,120,241,1.6701,0.9906,0.9576,2.8726,-1.2695,-0.0009,0.14978,0.9789,0.9063
gencast_mean_2020,24,241,0.3934,0.9954,0.9514,0.3998,-0.0817,-0.00257,0.03198,0.9985,0.9368
gencast_mean_2020,72,241,0.8638,0.967,0.8459,1.3214,-0.587,-0.0083,0.07689,0.9965,0.7088
gencast_mean_2020,120,241,1.4777,0.8854,0.659,2.9601,-1.9432,-0.02511,0.13319,0.9913,0.36
fuxi_2020,24,234,0.3838,0.9974,0.9437,0.3989,-0.0858,-0.00188,0.03142,0.9991,0.9395
fuxi_2020,72,234,0.8537,0.9702,0.8748,1.2641,-0.522,-0.00699,0.07636,1.0012,0.7988
fuxi_2020,120,234,1.4729,0.94,0.819,2.6473,-1.4265,-0.01285,0.13366,1.005,0.6936
avg4 (mean of 4),24,241,0.3665,0.9963,0.9458,0.3701,-0.065,-0.002,0.02956,0.9971,0.9265
avg4 (mean of 4),72,241,0.7982,0.9618,0.8533,1.202,-0.5372,-0.00866,0.07103,0.9938,0.7302
avg4 (mean of 4),120,241,1.3917,0.8971,0.7098,2.7023,-1.6728,-0.02206,0.1258,0.9888,0.46
