model,variant,lead_h,n_inits,alpha,ws_rmse,ws_var_ratio,ws_spec_ratio,ws_p95_bias,cf_bias,cf_rmse
avg4 (mean of 4),raw,24,61,0.95,0.36306,0.99561,0.94395,-0.07047,-0.00225,0.02927
avg4 (mean of 4),spectral,24,61,0.95,0.3638,1.00474,0.99796,-0.00234,-9e-05,0.02933
graphcast_2020,raw,24,61,0.85,0.38889,0.99504,0.93635,-0.09185,-0.004,0.03175
graphcast_2020,spectral,24,61,0.85,0.38771,1.00712,0.999,-0.00271,-0.00122,0.03159
pangu_2020,raw,24,61,1.05,0.41175,0.99514,0.94696,-0.07872,-0.00202,0.03395
pangu_2020,spectral,24,61,1.05,0.41384,1.0027,0.99621,-0.02271,-0.00023,0.03416
gencast_mean_2020,raw,24,61,1.05,0.39112,0.99542,0.95105,-0.08372,-0.00291,0.03178
gencast_mean_2020,spectral,24,61,1.05,0.39212,1.00546,1.00126,-0.01034,-0.00063,0.03188
fuxi_2020,raw,24,58,0.9,0.38107,0.99769,0.94145,-0.08714,-0.00209,0.0312
fuxi_2020,spectral,24,58,0.9,0.38161,1.00588,0.99846,-0.02622,-0.00015,0.03124
hres_2020,raw,24,61,1.25,0.49909,1.00272,0.99593,-0.01351,0.00232,0.04022
hres_2020,spectral,24,61,1.25,0.49959,0.99929,0.99866,-0.03564,0.00178,0.04023
avg4 (mean of 4),raw,72,60,0.85,0.78636,0.95888,0.85773,-0.55986,-0.0088,0.07002
avg4 (mean of 4),spectral,72,60,0.85,0.78943,0.99638,1.01184,-0.28911,-0.00011,0.07019
graphcast_2020,raw,72,60,0.9,0.85484,0.95217,0.84032,-0.65908,-0.01199,0.07667
graphcast_2020,spectral,72,60,0.9,0.85673,1.00055,1.01115,-0.31529,-0.00104,0.0767
pangu_2020,raw,72,60,1.15,0.90147,0.97451,0.91994,-0.47229,-0.00468,0.08047
pangu_2020,spectral,72,60,1.15,0.91292,0.99755,1.00871,-0.30949,0.00052,0.08143
gencast_mean_2020,raw,72,60,0.8,0.85423,0.96552,0.84928,-0.58847,-0.00855,0.07614
gencast_mean_2020,spectral,72,60,0.8,0.85852,1.00012,1.00505,-0.34047,-0.00054,0.07654
fuxi_2020,raw,72,58,0.9,0.84318,0.96938,0.87696,-0.53052,-0.00692,0.07537
fuxi_2020,spectral,72,58,0.9,0.85183,1.00201,1.00449,-0.29867,0.00055,0.07625
hres_2020,raw,72,60,0.9,0.98832,0.99259,1.00304,-0.37664,0.00035,0.08645
hres_2020,spectral,72,60,0.9,0.9916,0.99667,1.01917,-0.34476,0.00147,0.08676
avg4 (mean of 4),raw,120,60,0.8,1.37641,0.89922,0.71325,-1.60406,-0.02158,0.12385
avg4 (mean of 4),spectral,120,60,0.8,1.38849,0.9893,1.02203,-0.98549,0.00028,0.12536
graphcast_2020,raw,120,60,0.85,1.46635,0.92215,0.77731,-1.49149,-0.0189,0.13229
graphcast_2020,spectral,120,60,0.85,1.48706,0.99673,1.0009,-0.99568,-0.00166,0.13457
pangu_2020,raw,120,60,1.05,1.54779,0.968,0.89639,-1.20786,-0.0065,0.13917
pangu_2020,spectral,120,60,1.05,1.57079,1.00308,1.01406,-0.98056,0.00164,0.14142
gencast_mean_2020,raw,120,60,0.75,1.46507,0.88659,0.66264,-1.89305,-0.02499,0.13176
gencast_mean_2020,spectral,120,60,0.75,1.47023,0.98246,1.0111,-1.24187,-0.00128,0.13269
fuxi_2020,raw,120,58,0.9,1.45172,0.94063,0.81653,-1.34991,-0.01297,0.13134
fuxi_2020,spectral,120,58,0.9,1.47849,1.00047,1.00136,-0.95424,0.00099,0.13413
hres_2020,raw,120,60,1.25,1.66215,0.99617,0.95453,-1.20777,0.00023,0.14915
hres_2020,spectral,120,60,1.25,1.68038,1.01592,1.00908,-1.08021,0.00512,0.15099
